NOSE_X,NOSE_Y,LEFT_EYE_INNER_X,LEFT_EYE_INNER_Y,LEFT_EYE_X,LEFT_EYE_Y,LEFT_EYE_OUTER_X,LEFT_EYE_OUTER_Y,RIGHT_EYE_INNER_X,RIGHT_EYE_INNER_Y,RIGHT_EYE_X,RIGHT_EYE_Y,RIGHT_EYE_OUTER_X,RIGHT_EYE_OUTER_Y,LEFT_EAR_X,LEFT_EAR_Y,RIGHT_EAR_X,RIGHT_EAR_Y,MOUTH_LEFT_X,MOUTH_LEFT_Y,MOUTH_RIGHT_X,MOUTH_RIGHT_Y,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,LEFT_ELBOW_X,LEFT_ELBOW_Y,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,LEFT_WRIST_X,LEFT_WRIST_Y,RIGHT_WRIST_X,RIGHT_WRIST_Y,LEFT_PINKY_X,LEFT_PINKY_Y,RIGHT_PINKY_X,RIGHT_PINKY_Y,LEFT_INDEX_X,LEFT_INDEX_Y,RIGHT_INDEX_X,RIGHT_INDEX_Y,LEFT_THUMB_X,LEFT_THUMB_Y,RIGHT_THUMB_X,RIGHT_THUMB_Y,LEFT_HIP_X,LEFT_HIP_Y,RIGHT_HIP_X,RIGHT_HIP_Y,LEFT_KNEE_X,LEFT_KNEE_Y,RIGHT_KNEE_X,RIGHT_KNEE_Y,LEFT_ANKLE_X,LEFT_ANKLE_Y,RIGHT_ANKLE_X,RIGHT_ANKLE_Y,LEFT_HEEL_X,LEFT_HEEL_Y,RIGHT_HEEL_X,RIGHT_HEEL_Y,LEFT_FOOT_INDEX_X,LEFT_FOOT_INDEX_Y,RIGHT_FOOT_INDEX_X,RIGHT_FOOT_INDEX_Y
0.49328094720840454,0.22873105108737946,0.49927225708961487,0.21559038758277893,0.5040136575698853,0.2148495763540268,0.5081260204315186,0.21442574262619019,0.48705190420150757,0.218087837100029,0.48302024602890015,0.2191188484430313,0.4791834354400635,0.22048410773277283,0.5155579447746277,0.2225620448589325,0.47560229897499084,0.23196250200271606,0.5050302743911743,0.24353031814098358,0.4877914488315582,0.24575389921665192,0.5576328635215759,0.3157343864440918,0.44761887192726135,0.31578102707862854,0.5641995072364807,0.4234546422958374,0.4363178610801697,0.4262598156929016,0.5252159237861633,0.4961701035499573,0.48539644479751587,0.4931110441684723,0.5138173699378967,0.5264930725097656,0.49593043327331543,0.5182092189788818,0.5087377429008484,0.5134180188179016,0.5023807287216187,0.5055879950523376,0.511611819267273,0.5020140409469604,0.5002736449241638,0.49738624691963196,0.5280472040176392,0.5349233150482178,0.46471160650253296,0.5340935587882996,0.5264317393302917,0.7142996191978455,0.45756039023399353,0.7116215229034424,0.5294318795204163,0.8807066679000854,0.45322519540786743,0.8811555504798889,0.5235515236854553,0.8994147777557373,0.4613633155822754,0.9013354778289795,0.5333333015441895,0.9369563460350037,0.44403189420700073,0.9379152059555054
0.4914705753326416,0.22919760644435883,0.4970417022705078,0.21610961854457855,0.5018495321273804,0.21539011597633362,0.5063555836677551,0.21486495435237885,0.48455342650413513,0.21874229609966278,0.4804805815219879,0.2199270874261856,0.4774808883666992,0.22127673029899597,0.5141056776046753,0.2227441370487213,0.474386602640152,0.2327752560377121,0.5035340785980225,0.24384824931621552,0.4858283996582031,0.24626168608665466,0.5572399497032166,0.31505048274993896,0.446908563375473,0.31736043095588684,0.5628018975257874,0.4225984513759613,0.43636956810951233,0.4290238916873932,0.5250779986381531,0.5010226964950562,0.4883248209953308,0.49537333846092224,0.5144304037094116,0.5321599245071411,0.49917396903038025,0.5198799967765808,0.508995771408081,0.5212112069129944,0.5063276886940002,0.5075870752334595,0.5121296644210815,0.5087388157844543,0.5038836598396301,0.49929603934288025,0.527915894985199,0.537193238735199,0.4643757939338684,0.5356111526489258,0.5260756611824036,0.7172402739524841,0.45771297812461853,0.7126656770706177,0.5295994877815247,0.8818864822387695,0.45272141695022583,0.8824005722999573,0.5237385630607605,0.9009926319122314,0.4596366286277771,0.903080940246582,0.5339720249176025,0.9389063119888306,0.4449556767940521,0.9391050934791565
0.49080634117126465,0.2292901873588562,0.49672380089759827,0.21620124578475952,0.5015809535980225,0.2154901772737503,0.5061578750610352,0.21495339274406433,0.48402708768844604,0.21880987286567688,0.4799497723579407,0.2199905663728714,0.477043479681015,0.22130613029003143,0.5140148401260376,0.22279629111289978,0.47408151626586914,0.232722207903862,0.503005862236023,0.24403829872608185,0.4851002097129822,0.24635463953018188,0.5572251081466675,0.31502285599708557,0.4465320110321045,0.31780797243118286,0.5624681711196899,0.4233190417289734,0.436458021402359,0.4306453764438629,0.524298906326294,0.5031499862670898,0.4899877905845642,0.4961371421813965,0.5133298635482788,0.5347331762313843,0.500390887260437,0.5209624171257019,0.5074855089187622,0.5240828394889832,0.5075508952140808,0.5077786445617676,0.5108867287635803,0.5114495754241943,0.5051652193069458,0.4995713531970978,0.527738094329834,0.5379481911659241,0.463806688785553,0.5366337299346924,0.5259138345718384,0.7180101275444031,0.45736345648765564,0.7124220728874207,0.5292298197746277,0.8823260068893433,0.45177531242370605,0.882684588432312,0.5230990648269653,0.9010306596755981,0.459073930978775,0.9018733501434326,0.5333830714225769,0.9391335844993591,0.4442984461784363,0.9396800398826599
0.48880448937416077,0.23013348877429962,0.4943227767944336,0.21686871349811554,0.49850425124168396,0.21605587005615234,0.5029345750808716,0.2153177410364151,0.4826538562774658,0.2197543829679489,0.47847065329551697,0.22071100771427155,0.4752054214477539,0.22192494571208954,0.5110272169113159,0.22448691725730896,0.472545862197876,0.2323228269815445,0.49992960691452026,0.24338005483150482,0.48242679238319397,0.24670341610908508,0.55673748254776,0.30747196078300476,0.44247427582740784,0.3106403350830078,0.6386681795120239,0.3199522793292999,0.35951709747314453,0.3120027780532837,0.7149070501327515,0.32637321949005127,0.2736555337905884,0.3144502639770508,0.7392671704292297,0.328485906124115,0.24847188591957092,0.3156871497631073,0.7406047582626343,0.3233036696910858,0.2471177875995636,0.31122249364852905,0.7315343618392944,0.32338911294937134,0.25601065158843994,0.31120628118515015,0.5260659456253052,0.5370261669158936,0.4613719582557678,0.5356428623199463,0.5248820781707764,0.7164463400840759,0.4563238024711609,0.7185266017913818,0.5295580625534058,0.8838873505592346,0.4520529806613922,0.8862913846969604,0.5232058167457581,0.9042600393295288,0.46088576316833496,0.9061523675918579,0.5318044424057007,0.9391445517539978,0.44157499074935913,0.9434053897857666
0.49028968811035156,0.22930192947387695,0.4958373010158539,0.21626286208629608,0.500170111656189,0.21556870639324188,0.5045265555381775,0.21491025388240814,0.484159380197525,0.2189420759677887,0.47998934984207153,0.21995963156223297,0.4764828085899353,0.22116735577583313,0.512255072593689,0.22410441935062408,0.4737296998500824,0.2320282906293869,0.5012705326080322,0.24239562451839447,0.4837830662727356,0.2458575814962387,0.556951642036438,0.3067697286605835,0.4429122805595398,0.30909889936447144,0.637641429901123,0.3225584030151367,0.35835498571395874,0.3116369843482971,0.7144613265991211,0.3281024098396301,0.27086466550827026,0.3139168620109558,0.7387088537216187,0.3302702009677887,0.24642488360404968,0.31460654735565186,0.7404559850692749,0.32512131333351135,0.24507534503936768,0.30995675921440125,0.73140949010849,0.3252440094947815,0.2539595365524292,0.3102518916130066,0.5260913968086243,0.5363543033599854,0.46150460839271545,0.534876823425293,0.525031328201294,0.7176563739776611,0.4560697078704834,0.7192305326461792,0.5283012390136719,0.8836794495582581,0.45157068967819214,0.8874657154083252,0.5211099982261658,0.9028911590576172,0.46022000908851624,0.9078614711761475,0.5325139760971069,0.9387575387954712,0.4416990876197815,0.9436431527137756
0.4901699423789978,0.22864969074726105,0.49574050307273865,0.21570426225662231,0.5000506639480591,0.21509069204330444,0.5044354796409607,0.21445511281490326,0.4840738773345947,0.21815752983093262,0.4798975884914398,0.21917159855365753,0.476451575756073,0.22038112580776215,0.5122132897377014,0.2237377166748047,0.4736340641975403,0.23142044246196747,0.5010645985603333,0.24185961484909058,0.48360610008239746,0.24511924386024475,0.5569676160812378,0.30578097701072693,0.4426144063472748,0.30899491906166077,0.6381351351737976,0.32141104340553284,0.35852178931236267,0.31295016407966614,0.7151294946670532,0.3276214003562927,0.27090904116630554,0.31572580337524414,0.7395175695419312,0.3295130729675293,0.24627503752708435,0.316459983587265,0.7411142587661743,0.32435888051986694,0.2450622022151947,0.31196919083595276,0.731918215751648,0.32461050152778625,0.25391286611557007,0.3124102056026459,0.5267823934555054,0.537212073802948,0.46170759201049805,0.536277711391449,0.5253930687904358,0.7196897864341736,0.4561331868171692,0.7200850248336792,0.5281206369400024,0.8848817944526672,0.4514431357383728,0.8877293467521667,0.5205803513526917,0.9040148854255676,0.4600416123867035,0.9081219434738159,0.5328395962715149,0.9395096898078918,0.441843181848526,0.9438207149505615
0.497050940990448,0.2340799868106842,0.49782881140708923,0.2240622192621231,0.4983077943325043,0.22434911131858826,0.4990949034690857,0.22460311651229858,0.4948645234107971,0.22422030568122864,0.49423184990882874,0.22454534471035004,0.49396705627441406,0.22484683990478516,0.5024408102035522,0.23261484503746033,0.49604377150535583,0.23303212225437164,0.5001031160354614,0.24923528730869293,0.4950466752052307,0.24896970391273499,0.52149498462677,0.30240318179130554,0.4806118607521057,0.3074631989002228,0.48866137862205505,0.2032138854265213,0.44305068254470825,0.2106676548719406,0.5025102496147156,0.07234657555818558,0.4826962947845459,0.08752437680959702,0.520183265209198,0.05518680438399315,0.4702537953853607,0.05952667444944382,0.4970370829105377,0.05228925868868828,0.4637327194213867,0.05396656692028046,0.4995808005332947,0.06122716888785362,0.4679108262062073,0.06344293802976608,0.5017816424369812,0.533838152885437,0.48764005303382874,0.5360088348388672,0.5092760324478149,0.7207112908363342,0.46292877197265625,0.7183310389518738,0.5269489884376526,0.8899804353713989,0.45728421211242676,0.8902415633201599,0.5208301544189453,0.9124414324760437,0.4636397957801819,0.9116960763931274,0.5304979085922241,0.9462578296661377,0.44178056716918945,0.9482041597366333
0.4889090061187744,0.2253272384405136,0.494044691324234,0.2185356765985489,0.49788063764572144,0.2191723883152008,0.5018350481987,0.21980877220630646,0.48387154936790466,0.2199050337076187,0.4804496169090271,0.22118587791919708,0.4770991802215576,0.22234754264354706,0.5079464316368103,0.23117269575595856,0.4732338488101959,0.2337968796491623,0.4980885982513428,0.23982514441013336,0.4828758239746094,0.24172285199165344,0.5481321811676025,0.3063790202140808,0.4473530650138855,0.3143230080604553,0.5964958071708679,0.23085668683052063,0.3948580324649811,0.22931021451950073,0.6204346418380737,0.11617506295442581,0.3760582506656647,0.10676942020654678,0.6184157133102417,0.08719772845506668,0.37565526366233826,0.07712120562791824,0.6115518808364868,0.08010974526405334,0.3850630819797516,0.07056641578674316,0.6101230382919312,0.09184285998344421,0.3857835829257965,0.08248551189899445,0.5278177857398987,0.5395783185958862,0.46274107694625854,0.5411893725395203,0.5284131169319153,0.7251792550086975,0.456892192363739,0.722124457359314,0.5341564416885376,0.8937199711799622,0.45192402601242065,0.8909639120101929,0.5280253887176514,0.9153338074684143,0.45723333954811096,0.9124681353569031,0.5355151891708374,0.9480307102203369,0.43983912467956543,0.9481793642044067
0.48995527625083923,0.22554264962673187,0.49462470412254333,0.21826006472110748,0.49854984879493713,0.21886053681373596,0.5027350783348083,0.21947023272514343,0.48501330614089966,0.21979118883609772,0.48171624541282654,0.22118507325649261,0.4784344732761383,0.2224835306406021,0.5087252855300903,0.23120422661304474,0.47367995977401733,0.23468607664108276,0.4988609254360199,0.2409045547246933,0.4841531217098236,0.24290777742862701,0.5482312440872192,0.306943416595459,0.44763389229774475,0.3147943615913391,0.5940514802932739,0.22960281372070312,0.39472395181655884,0.2299812287092209,0.6071438193321228,0.11004232615232468,0.38088616728782654,0.10583078861236572,0.6066886186599731,0.07959546148777008,0.3814024329185486,0.07619982212781906,0.5995770692825317,0.07427842170000076,0.39024466276168823,0.07029888778924942,0.5975958108901978,0.08518277853727341,0.3918434679508209,0.08161347359418869,0.5278242826461792,0.5392370223999023,0.4631744921207428,0.5403233766555786,0.5278891324996948,0.7264665961265564,0.4574163556098938,0.7234093546867371,0.5339470505714417,0.8944073915481567,0.45126858353614807,0.8919594287872314,0.5280293822288513,0.9157803058624268,0.45612138509750366,0.9130145311355591,0.535200834274292,0.9474448561668396,0.44084542989730835,0.9483849406242371
0.491630882024765,0.22900815308094025,0.4979359209537506,0.2138957977294922,0.5027629137039185,0.21312274038791656,0.5073191523551941,0.2124161273241043,0.484813392162323,0.2168026715517044,0.48021045327186584,0.2179405391216278,0.4762055277824402,0.2194078117609024,0.5148360133171082,0.2202896624803543,0.47317036986351013,0.22908638417720795,0.5029821395874023,0.24357400834560394,0.4849112033843994,0.24670420587062836,0.5617328882217407,0.30142638087272644,0.4460154175758362,0.30595725774765015,0.6349350214004517,0.3458253741264343,0.36164864897727966,0.33585312962532043,0.6536768078804016,0.43696409463882446,0.33032968640327454,0.42628273367881775,0.6590709686279297,0.46851789951324463,0.3195480406284332,0.45739826560020447,0.6471750736236572,0.4705434739589691,0.3334794342517853,0.46118131279945374,0.6413134932518005,0.458741694688797,0.3395040035247803,0.45175230503082275,0.5301763415336609,0.5416589975357056,0.46496129035949707,0.5423556566238403,0.5298174619674683,0.7257782220840454,0.45832839608192444,0.7280140519142151,0.5359252691268921,0.8884187936782837,0.4521157741546631,0.8880094885826111,0.5289401412010193,0.9097800850868225,0.46035319566726685,0.9097845554351807,0.5370818972587585,0.9431763291358948,0.44081538915634155,0.9445525407791138
